date,open,high,low,close
2019-12-31,7222.74,7302.35,7112.55,7168.36
2019-12-30,7372.79,7384.90,7199.00,7220.24
2019-12-29,7297.43,7524.46,7274.43,7385.54
2019-12-28,7247.70,7349.65,7231.00,7296.24
2019-12-27,7195.17,7255.37,7052.00,7246.00
2019-12-26,7195.80,7432.00,7150.00,7188.30
2019-12-25,7247.45,7266.81,7110.73,7195.79
2019-12-24,7317.47,7431.10,7156.00,7251.52
2019-12-23,7521.88,7692.98,7247.86,7316.17
2019-12-22,7147.40,7530.00,7124.52,7509.70
2019-12-21,7194.13,7194.13,7109.73,7147.40
2019-12-20,7157.53,7218.11,7072.61,7194.11
2019-12-19,7286.91,7372.12,7000.00,7149.57
2019-12-18,6619.53,7449.68,6425.00,7286.91
2019-12-17,6882.08,6938.77,6550.00,6612.30
2019-12-16,7115.08,7147.91,6820.00,6882.19
2019-12-15,7066.35,7225.23,7007.00,7115.08
2019-12-14,7255.94,7269.00,7007.48,7059.03
2019-12-13,7185.15,7302.35,7179.65,7257.47
2019-12-12,7208.95,7296.19,7072.20,7188.42
2019-12-11,7224.50,7271.00,7122.28,7207.42
2019-12-10,7332.05,7400.00,7150.23,7216.07
2019-12-09,7516.80,7666.00,7268.03,7340.52
2019-12-08,7505.86,7580.00,7382.69,7524.26
2019-12-07,7535.46,7638.88,7486.70,7502.65
2019-12-06,7397.35,7618.99,7305.56,7541.79
2019-12-05,7199.58,7500.00,7150.06,7390.42
2019-12-04,7299.20,7772.71,7087.09,7197.78
2019-12-03,7317.94,7415.00,7238.04,7300.43
2019-12-02,7411.75,7431.07,7140.08,7309.64
2019-12-01,7560.20,7560.20,7233.87,7412.66
2019-11-30,7753.69,7815.00,7452.08,7550.67
2019-11-29,7429.32,7870.35,7411.17,7753.69
2019-11-28,7517.82,7659.92,7372.19,7436.72
2019-11-27,7168.74,7676.27,6847.72,7527.84
2019-11-26,7127.12,7344.91,7018.78,7159.22
2019-11-25,6900.90,7380.00,6515.00,7122.14
2019-11-24,7330.98,7349.68,6861.96,6908.36
2019-11-23,7276.21,7356.49,7102.16,7320.39
2019-11-22,7612.23,7714.70,6785.00,7285.85
2019-11-21,8085.54,8116.92,7394.09,7611.51
2019-11-20,8124.08,8231.04,8027.28,8088.44
2019-11-19,8176.90,8197.77,7989.15,8121.63
2019-11-18,8499.53,8508.40,8010.70,8170.65
2019-11-17,8485.61,8631.60,8375.00,8499.31
2019-11-16,8459.38,8539.53,8423.00,8484.63
2019-11-15,8632.07,8799.03,8363.00,8463.49
2019-11-14,8765.53,8791.78,8555.00,8636.90
2019-11-13,8817.00,8839.46,8700.00,8755.24
2019-11-12,8720.36,8872.47,8549.00,8813.91
2019-11-11,9029.88,9075.32,8593.00,8720.36
2019-11-10,8806.85,9142.33,8750.85,9024.49
2019-11-09,8760.38,8876.94,8720.00,8812.21
2019-11-08,9209.30,9253.39,8661.00,8767.37
2019-11-07,9346.02,9373.48,9080.00,9199.36
2019-11-06,9319.10,9448.19,9254.68,9344.78
2019-11-05,9410.76,9485.00,9165.20,9320.14
2019-11-04,9207.00,9586.50,9122.33,9410.76
2019-11-03,9304.75,9384.32,9067.00,9207.00
2019-11-02,9250.70,9396.91,9201.19,9304.75
2019-11-01,9158.08,9303.53,9054.60,9250.45
2019-10-31,9169.55,9438.61,8961.53,9150.07
2019-10-30,9426.94,9437.06,8985.25,9159.94
2019-10-29,9216.39,9573.35,9051.48,9426.94
2019-10-28,9547.32,9950.00,9177.84,9216.44
2019-10-27,9262.72,9819.92,9092.66,9557.08
2019-10-26,8677.09,10350.00,8642.46,9252.75
2019-10-25,7427.00,8784.29,7393.14,8662.66
2019-10-24,7470.77,7512.00,7356.00,7435.00
2019-10-23,8021.57,8052.04,7293.55,7470.77
2019-10-22,8206.53,8314.77,7989.15,8025.90
2019-10-21,8236.49,8352.00,8156.00,8213.65
2019-10-20,7965.39,8314.77,7874.68,8235.74
2019-10-19,7950.48,8096.76,7875.00,7960.49
2019-10-18,8069.26,8120.77,7811.62,7955.08
2019-10-17,7995.73,8130.71,7936.71,8073.32
2019-10-16,8162.45,8179.10,7912.66,7995.89
2019-10-15,8353.33,8420.85,8086.00,8155.13
2019-10-14,8278.39,8416.67,8215.41,8362.99
2019-10-13,8303.43,8474.48,8132.91,8282.96
2019-10-12,8265.16,8427.76,8254.68,8303.43
2019-10-11,8589.08,8820.00,8222.88,8265.55
2019-10-10,8586.57,8666.84,8450.61,8582.11
2019-10-09,8185.85,8707.80,8110.00,8586.34
2019-10-08,8211.04,8344.12,8109.74,8178.54
2019-10-07,7863.75,8313.70,7763.54,8205.53
2019-10-06,8150.73,8176.46,7772.71,7854.12
2019-10-05,8157.89,8195.00,8016.26,8145.17
2019-10-04,8243.39,8244.93,7986.65,8152.07
2019-10-03,8377.68,8419.23,8029.14,8239.92
2019-10-02,8326.41,8393.39,8170.91,8373.42
2019-10-01,8304.47,8531.25,8195.42,8319.01
2019-09-30,8060.13,8368.50,7714.70,8298.45
2019-09-29,8218.07,8244.07,7902.66,8047.60
2019-09-28,8199.96,8356.40,8009.84,8218.07
2019-09-27,8055.25,8294.04,7866.00,8187.72
2019-09-26,8443.44,8467.89,7733.99,8055.03
2019-09-25,8536.71,8746.83,8216.00,8432.16
2019-09-24,9685.69,9782.00,7998.00,8536.82
2019-09-23,10022.38,10048.06,9606.00,9682.19
2019-09-22,9973.00,10093.24,9842.35,10020.58
2019-09-21,10169.02,10180.43,9913.35,9985.28
2019-09-20,10284.72,10308.04,10055.00,10169.02
2019-09-19,10161.59,10380.07,9600.00,10271.53
2019-09-18,10182.96,10263.65,10080.00,10152.09
2019-09-17,10257.20,10280.53,10130.59,10195.73
2019-09-16,10320.36,10378.07,10060.95,10269.98
2019-09-15,10362.52,10383.20,10258.49,10305.74
2019-09-14,10365.81,10441.47,10217.01,10355.37
2019-09-13,10423.99,10458.13,10153.87,10368.65
2019-09-12,10163.81,10465.00,10027.52,10420.34
2019-09-11,10093.39,10243.01,9855.11,10154.46
2019-09-10,10317.62,10390.09,9910.00,10096.00
2019-09-09,10387.33,10542.93,10060.00,10307.45
2019-09-08,10497.57,10594.88,10229.49,10400.18
2019-09-07,10309.04,10580.00,10297.58,10484.39
2019-09-06,10573.04,10949.00,10204.18,10311.09
2019-09-05,10586.26,10664.13,10461.97,10573.66
2019-09-04,10617.72,10834.15,10378.70,10586.26
2019-09-03,10384.07,10783.00,10286.00,10617.61
2019-09-02,9767.56,10471.00,9753.24,10384.48
2019-09-01,9593.50,9832.00,9538.75,9767.53
2019-08-31,9569.30,9682.73,9443.19,9594.15
2019-08-30,9490.56,9700.00,9350.10,9579.75
2019-08-29,9720.20,9720.20,9320.00,9490.00
2019-08-28,10171.39,10280.71,9555.00,9711.78
2019-08-27,10355.11,10375.53,10019.10,10167.29
2019-08-26,10136.75,10650.00,10136.75,10360.97
2019-08-25,10149.38,10355.89,9907.86,10136.75
2019-08-24,10401.87,10432.00,9885.48,10149.70
2019-08-23,10112.45,10479.00,10051.00,10401.60
2019-08-22,10123.56,10238.29,9755.53,10112.01
2019-08-21,10778.75,10807.54,9853.45,10134.75
2019-08-20,10927.30,10955.48,10549.74,10772.22
2019-08-19,10318.99,10940.00,10267.56,10927.30
2019-08-18,10221.94,10515.00,10065.41,10318.99
2019-08-17,10351.18,10472.93,9974.51,10210.89
2019-08-16,10294.90,10540.00,9736.96,10354.34
2019-08-15,10022.50,10444.66,9467.57,10301.44
2019-08-14,10862.25,10862.25,9888.57,10022.99
2019-08-13,11380.61,11446.94,10738.58,10862.28
2019-08-12,11527.44,11551.57,11194.04,11385.11
