date,open,high,low,close
2022-12-31,16603.67,16628.98,16517.51,16547.49
2022-12-30,16641.33,16643.42,16408.47,16602.58
2022-12-29,16552.32,16651.75,16508.68,16642.34
2022-12-28,16716.40,16768.16,16497.55,16552.57
2022-12-27,16919.29,16959.84,16642.07,16717.17
2022-12-26,16842.25,16920.12,16812.36,16919.80
2022-12-25,16847.50,16860.55,16755.25,16841.98
2022-12-24,16796.97,16864.70,16793.52,16847.75
2022-12-23,16829.64,16905.21,16794.45,16796.95
2022-12-22,16818.38,16866.67,16592.40,16830.34
2022-12-21,16904.52,16916.80,16755.91,16817.53
2022-12-20,16441.78,17012.98,16427.86,16906.30
2022-12-19,16759.04,16807.52,16398.13,16439.67
2022-12-18,16795.60,16815.38,16697.82,16757.97
2022-12-17,16646.98,16800.58,16614.02,16795.09
2022-12-16,17364.54,17505.52,16584.70,16647.48
2022-12-15,17813.64,17846.74,17322.58,17364.86
2022-12-14,17782.06,18318.53,17739.51,17815.65
2022-12-13,17206.44,17930.08,17111.76,17781.31
2022-12-12,17102.50,17212.56,16899.39,17206.43
2022-12-11,17129.71,17245.63,17091.82,17104.19
2022-12-10,17134.22,17216.82,17120.68,17128.72
2022-12-09,17232.14,17280.54,17100.83,17133.15
2022-12-08,16847.34,17267.91,16788.78,17233.47
2022-12-07,17089.50,17109.37,16750.55,16848.12
2022-12-06,16975.23,17091.86,16939.92,17089.50
2022-12-05,17128.89,17378.15,16922.43,16974.82
2022-12-04,16908.16,17157.76,16903.43,17130.48
2022-12-03,17090.09,17116.04,16888.14,16908.23
2022-12-02,16968.68,17088.66,16877.88,17088.66
2022-12-01,17168.00,17197.49,16888.38,16967.13
2022-11-30,16445.47,17190.93,16445.47,17168.56
2022-11-29,16217.63,16522.25,16139.39,16444.98
2022-11-28,16440.22,16482.93,16054.53,16217.32
2022-11-27,16463.88,16594.40,16437.02,16444.62
2022-11-26,16521.57,16666.86,16416.22,16464.28
2022-11-25,16602.26,16603.31,16388.40,16521.84
2022-11-24,16611.63,16771.47,16501.76,16604.46
2022-11-23,16195.58,16638.19,16170.50,16610.70
2022-11-22,15782.30,16253.04,15656.60,16189.76
2022-11-21,16291.22,16291.22,15599.04,15787.28
2022-11-20,16712.91,16746.77,16248.69,16291.83
2022-11-19,16696.22,16797.87,16570.41,16711.54
2022-11-18,16687.91,16947.05,16564.61,16697.77
2022-11-17,16670.42,16726.43,16460.68,16687.51
2022-11-16,16884.34,16960.29,16430.11,16669.43
2022-11-15,16617.48,17051.96,16542.55,16884.61
2022-11-14,16352.02,17109.32,15872.94,16618.19
2022-11-13,16799.72,16920.76,16320.63,16353.36
2022-11-12,17036.87,17066.67,16651.77,16799.18
2022-11-11,17583.25,17650.94,16543.48,17034.29
2022-11-10,15883.15,18054.31,15834.01,17586.77
2022-11-09,18543.76,18590.45,15682.69,15880.78
2022-11-08,20600.67,20664.60,17603.54,18541.27
2022-11-07,20924.62,21053.24,20489.97,20602.81
2022-11-06,21285.05,21345.37,20920.19,20926.48
2022-11-05,21144.83,21446.88,21097.63,21282.69
2022-11-04,20208.76,21209.56,20188.01,21147.23
2022-11-03,20162.68,20382.09,20086.24,20209.98
2022-11-02,20482.95,20742.81,20087.13,20159.50
2022-11-01,20494.89,20647.28,20359.84,20485.27
2022-10-31,20633.69,20795.32,20287.45,20495.77
2022-10-30,20817.98,20917.00,20547.46,20635.60
2022-10-29,20595.10,20988.39,20566.48,20818.47
2022-10-28,20287.95,20724.98,20086.06,20595.35
2022-10-27,20772.80,20854.04,20255.37,20285.83
2022-10-26,20092.23,20938.13,20076.11,20770.44
2022-10-25,19344.96,20348.41,19261.44,20095.85
2022-10-24,19567.76,19589.12,19206.32,19345.57
2022-10-23,19207.73,19646.65,19124.19,19567.00
2022-10-22,19172.38,19248.06,19132.24,19208.18
2022-10-21,19053.20,19237.38,18770.97,19172.46
