date,open,high,low,close
2014-12-31,311.94,320.0,310.69,319.25
2014-12-30,314.78,316.77,310.0,311.94
2014-12-29,316.63,320.14,311.61,314.78
2014-12-28,315.89,319.56,311.22,316.63
2014-12-27,330.97,330.97,311.63,315.89
2014-12-26,319.0,332.0,316.64,330.88
2014-12-25,320.92,324.23,316.63,319.39
2014-12-24,337.0,337.0,320.92,322.14
2014-12-23,330.52,338.99,327.49,335.49
2014-12-22,322.24,333.99,319.9,330.52
2014-12-21,332.58,332.98,318.78,323.15
2014-12-20,317.23,333.0,316.52,329.99
2014-12-19,310.48,320.0,307.11,318.0
2014-12-18,321.32,325.61,304.99,312.17
2014-12-17,331.56,335.99,315.23,321.1
2014-12-16,350.17,350.17,330.0,330.02
2014-12-15,350.17,350.17,350.17,350.17
2014-12-14,351.45,351.98,348.96,350.17
2014-12-13,354.48,354.95,347.03,351.45
2014-12-12,348.98,358.59,348.0,354.48
2014-12-11,348.13,364.43,339.8,348.98
2014-12-10,350.49,353.74,347.23,348.13
2014-12-09,364.61,365.48,343.97,350.49
2014-12-08,376.87,377.45,364.6,364.61
2014-12-07,375.07,377.5,373.16,376.87
2014-12-06,374.95,376.99,371.31,375.07
2014-12-05,365.2,377.89,363.99,374.95
2014-12-04,376.67,378.99,360.01,365.2
2014-12-03,379.25,383.0,374.23,376.67
2014-12-02,378.39,382.86,375.23,379.25
2014-12-01,376.4,382.31,373.03,378.39
2014-11-30,376.57,381.99,373.32,373.34
2014-11-29,376.42,386.6,372.25,376.72
2014-11-28,363.59,381.34,360.57,376.28
