date,open,high,low,close
2023-03-02,23641.41,23739.13,23378.16,23424.37
2023-03-01,23150.92,23880.63,23088.62,23646.55
2023-02-28,23521.83,23585.38,23077.65,23147.35
2023-02-27,23561.45,23857.89,23205.87,23522.87
2023-02-26,23174.15,23654.36,23084.22,23561.21
2023-02-25,23200.12,23210.21,22861.55,23175.37
2023-02-24,23946.00,24103.70,23007.07,23198.12
2023-02-23,24190.71,24572.08,23693.91,23947.49
2023-02-22,24437.41,24472.33,23644.31,24188.84
2023-02-21,24833.04,25126.85,24200.36,24436.35
2023-02-20,24336.62,25020.45,23927.91,24829.14
2023-02-19,24640.02,25093.05,24327.64,24327.64
2023-02-18,24565.29,24798.83,24468.37,24641.27
2023-02-17,23621.28,24924.04,23460.75,24565.60
2023-02-16,24307.34,25134.11,23602.52,23623.47
2023-02-15,22220.58,24307.84,22082.76,24307.84
2023-02-14,21801.82,22293.14,21632.39,22220.80
2023-02-13,21787.00,21898.41,21460.08,21808.10
2023-02-12,21870.90,22060.99,21682.82,21788.20
2023-02-11,21651.84,21891.41,21618.44,21870.87
2023-02-10,21819.00,21941.18,21539.39,21651.18
2023-02-09,22946.56,22996.43,21773.97,21819.03
2023-02-08,23263.41,23367.95,22731.09,22939.39
2023-02-07,22757.26,23310.97,22756.25,23264.29
2023-02-06,22954.02,23119.27,22692.02,22760.10
2023-02-05,23332.24,23423.43,22841.75,22955.66
2023-02-04,23446.32,23556.94,23291.79,23331.84
2023-02-03,23469.41,23678.10,23279.95,23449.32
2023-02-02,23720.82,24167.21,23468.59,23471.87
2023-02-01,23137.83,23764.53,22877.75,23723.76
2023-01-31,22840.79,23225.02,22765.56,23139.28
2023-01-30,23774.64,23789.34,22657.58,22840.13
2023-01-29,23031.44,23919.89,22985.07,23774.56
2023-01-28,23079.96,23165.89,22908.84,23031.08
2023-01-27,23030.71,23417.72,22654.59,23078.72
2023-01-26,23108.95,23237.07,22911.37,23032.77
2023-01-25,22639.26,23722.09,22406.07,23117.85
2023-01-24,22929.62,23134.01,22549.74,22636.46
2023-01-23,22721.08,23126.48,22654.30,22934.43
2023-01-22,22777.98,23056.73,22387.90,22720.41
2023-01-21,22677.42,23282.34,22511.83,22777.62
2023-01-20,21085.37,22692.35,20919.12,22676.55
2023-01-19,20686.74,21163.01,20685.38,21086.79
2023-01-18,21161.05,21564.50,20541.54,20688.78
2023-01-17,21175.83,21438.66,20978.53,21161.51
2023-01-16,20882.22,21360.87,20715.74,21169.63
2023-01-15,20977.48,20993.74,20606.98,20880.79
2023-01-14,19910.53,21075.14,19907.82,20976.29
2023-01-13,18868.90,19964.32,18753.16,19909.57
2023-01-12,18117.59,19030.08,17995.20,18869.58
2023-01-11,17446.35,17934.89,17337.99,17934.89
2023-01-10,17192.94,17484.72,17162.99,17446.29
2023-01-09,17093.99,17389.95,17093.99,17196.55
2023-01-08,16954.14,17091.14,16924.05,17091.14
2023-01-07,16952.11,16975.01,16914.19,16955.07
2023-01-06,16836.47,16991.99,16716.42,16951.96
2023-01-05,16863.47,16884.02,16790.28,16836.73
2023-01-04,16680.20,16964.58,16667.76,16863.23
2023-01-03,16688.84,16760.44,16622.37,16679.85
2023-01-02,16625.50,16759.34,16572.22,16688.47
2023-01-01,16547.91,16630.43,16521.23,16625.08
