date,open,high,low,close
2016-12-31,959.54,966.37,944.11,964.32
2016-12-30,969.99,970.0,931.0,959.03
2016-12-29,976.46,980.74,950.0,968.99
2016-12-28,930.34,975.97,929.49,975.97
2016-12-27,897.82,936.42,891.0,929.92
2016-12-26,890.65,905.18,888.0,899.1
2016-12-25,892.61,894.97,859.0,891.67
2016-12-24,914.48,918.5,878.89,892.63
2016-12-23,858.94,920.0,858.93,916.0
2016-12-22,832.02,875.0,827.29,858.94
2016-12-21,798.65,830.01,796.82,828.1
2016-12-20,791.03,803.0,787.1,801.02
2016-12-19,788.34,794.39,787.01,790.65
2016-12-18,788.3,790.99,780.0,788.68
2016-12-17,781.32,790.88,780.36,788.4
2016-12-16,776.3,782.46,771.24,780.35
2016-12-15,777.03,779.08,771.0,774.79
2016-12-14,775.35,781.0,770.74,776.29
2016-12-13,777.0,793.27,765.1,778.71
2016-12-12,768.97,779.0,768.96,777.93
2016-12-11,772.28,772.28,764.01,768.19
2016-12-10,769.57,774.12,768.11,772.35
2016-12-09,766.84,773.99,766.29,769.49
2016-12-08,764.05,772.01,762.29,767.96
2016-12-07,758.97,769.61,751.78,766.85
2016-12-06,749.51,759.9,747.99,758.91
2016-12-05,762.0,762.09,743.0,750.0
2016-12-04,762.97,762.97,752.41,761.99
2016-12-03,770.91,770.99,752.41,762.79
2016-12-02,751.55,778.07,750.77,769.99
2016-12-01,742.06,754.98,740.18,751.6
2016-11-30,730.72,744.49,727.0,742.06
2016-11-29,730.99,733.29,721.0,730.99
2016-11-28,727.32,732.44,724.1,730.98
2016-11-27,729.91,732.0,722.44,726.12
2016-11-26,736.96,737.56,722.3,729.87
2016-11-25,735.63,737.03,728.0,737.03
2016-11-24,740.18,741.15,729.0,735.7
2016-11-23,749.13,749.98,729.92,740.17
2016-11-22,736.92,750.0,730.27,746.61
2016-11-21,727.09,739.2,727.03,736.97
2016-11-20,750.09,753.82,714.0,727.09
2016-11-19,748.98,755.07,742.63,749.57
2016-11-18,736.0,752.95,731.31,745.99
2016-11-17,739.71,749.98,732.22,737.0
2016-11-16,711.07,742.87,708.44,737.99
2016-11-15,704.98,716.54,703.05,710.82
2016-11-14,700.38,705.89,697.14,704.7
2016-11-13,701.17,702.89,683.23,701.51
2016-11-12,716.39,716.39,701.0,703.0
2016-11-11,714.48,720.94,712.24,715.82
2016-11-10,721.5,722.0,707.0,714.5
2016-11-09,708.17,740.86,705.45,720.44
2016-11-08,702.86,712.92,701.02,710.19
2016-11-07,709.92,709.92,698.26,706.5
2016-11-06,703.33,714.36,697.92,710.22
