date,open,high,low,close
2020-12-31,28893.21,29300.00,27930.75,28992.79
2020-12-30,27370.00,29010.32,27328.37,28881.30
2020-12-29,27037.90,27395.00,25831.85,27370.00
2020-12-28,26242.82,27473.49,26079.60,27037.91
2020-12-27,26472.89,28377.94,25770.00,26259.60
2020-12-26,24714.01,26809.50,24485.32,26466.28
2020-12-25,23747.22,24777.00,23403.82,24705.15
2020-12-24,23215.00,23779.14,22700.10,23726.28
2020-12-23,23819.08,24096.90,22624.92,23247.71
2020-12-22,22750.07,23843.21,22383.59,23835.10
2020-12-21,23470.85,24123.83,21864.86,22732.01
2020-12-20,23842.38,24298.04,23092.77,23470.85
2020-12-19,23142.05,24217.38,22719.78,23842.99
2020-12-18,22829.89,23284.68,22360.93,23136.14
2020-12-17,21358.96,23777.00,21244.04,22814.24
2020-12-16,19434.55,21576.76,19277.66,21365.70
2020-12-15,19274.33,19567.84,19050.00,19434.87
2020-12-14,19151.82,19346.90,18979.21,19274.33
2020-12-13,18806.83,19416.64,18628.10,19162.36
2020-12-12,18031.23,18956.46,18022.55,18815.63
2020-12-11,18250.30,18290.43,17569.58,18040.02
2020-12-10,18546.38,18562.13,17908.00,18250.30
2020-12-09,18311.31,18654.92,17640.33,18556.64
2020-12-08,19183.13,19300.55,18163.52,18316.43
2020-12-07,19385.13,19431.00,18905.00,19173.50
2020-12-06,19162.17,19418.39,18870.62,19380.58
2020-12-05,18650.08,19185.17,18500.00,19162.16
2020-12-04,19439.94,19552.50,18573.89,18673.76
2020-12-03,19220.09,19621.00,18881.62,19448.40
2020-12-02,18773.21,19346.90,18334.00,19226.55
2020-12-01,19703.53,19918.01,18100.00,18771.43
2020-11-30,18196.75,19864.15,18196.75,19700.19
2020-11-29,17724.41,18352.47,17534.87,18192.03
2020-11-28,17160.38,17896.03,16875.01,17741.79
2020-11-27,17168.31,17471.89,16435.47,17154.39
2020-11-26,18727.24,18911.04,16218.00,17160.09
2020-11-25,19175.13,19490.00,18470.91,18732.43
2020-11-24,18386.92,19442.13,18068.56,19160.85
2020-11-23,18432.60,18786.31,18001.95,18383.35
2020-11-22,18726.43,18770.55,17600.00,18435.20
2020-11-21,18685.08,18977.00,18333.45,18725.00
2020-11-20,17822.37,18824.88,17755.81,18687.65
2020-11-19,17792.96,18189.97,17346.62,17825.47
2020-11-18,17681.77,18483.00,17041.47,17785.95
2020-11-17,16727.85,17868.00,16570.00,17680.63
2020-11-16,15975.49,16894.93,15875.50,16724.62
2020-11-15,16092.80,16170.00,15786.46,15975.49
2020-11-14,16339.06,16341.89,15715.10,16086.34
2020-11-13,16300.00,16494.52,15970.33,16335.58
2020-11-12,15702.00,16369.99,15481.00,16300.00
2020-11-11,15314.94,15991.01,15290.85,15707.89
2020-11-10,15349.32,15482.76,15092.47,15313.65
2020-11-09,15484.68,15854.48,14824.66,15332.04
2020-11-08,14829.32,15664.90,14727.19,15489.15
2020-11-07,15603.28,15778.60,14351.00,14838.97
2020-11-06,15608.32,15968.98,15196.01,15598.09
2020-11-05,14168.49,15770.58,14100.00,15605.04
2020-11-04,14041.58,14277.50,13520.87,14160.59
2020-11-03,13578.82,14083.76,13287.70,14041.58
2020-11-02,13762.00,13842.50,13220.00,13563.72
2020-11-01,13799.44,13907.47,13629.31,13762.00
2020-10-31,13569.42,14100.00,13420.97,13816.08
