date,open,high,low,close
2021-12-31,47110.30,48589.47,45655.31,46214.37
2021-12-30,46474.59,47916.32,45934.37,47150.71
2021-12-29,47597.70,48157.41,46099.94,46483.36
2021-12-28,50708.05,50719.59,47300.00,47543.30
2021-12-27,50885.32,52098.60,50479.44,50718.11
2021-12-26,50421.51,51292.65,49458.85,50791.21
2021-12-25,50857.42,51179.36,50190.90,50442.22
2021-12-24,50850.00,51864.56,50442.34,50841.48
2021-12-23,48618.99,51386.66,48051.10,50850.00
2021-12-22,48907.75,49600.00,48449.87,48618.99
2021-12-21,46926.72,49353.49,46667.08,48929.86
2021-12-20,46671.66,47547.50,45572.94,46915.00
2021-12-19,46854.18,48307.34,46450.00,46704.67
2021-12-18,46141.63,47370.14,45501.00,46881.87
2021-12-17,47654.99,48018.52,45478.74,46210.92
2021-12-16,48876.84,49449.00,47506.21,47663.42
2021-12-15,48386.95,49514.85,46560.00,48876.84
2021-12-14,46736.70,48689.30,46310.40,48389.96
2021-12-13,50102.31,50226.20,45750.00,46725.02
2021-12-12,49420.51,50800.00,48675.00,50124.38
2021-12-11,47179.53,49539.40,46789.00,49400.54
2021-12-10,47573.43,50132.88,46886.00,47142.42
2021-12-09,50535.15,50839.01,47332.43,47593.12
2021-12-08,50635.87,51249.41,48656.20,50543.30
2021-12-07,50550.09,51991.00,50062.13,50627.32
2021-12-06,49484.00,50986.00,47111.00,50555.00
2021-12-05,49240.81,49777.62,47836.34,49463.22
2021-12-04,53685.47,53877.77,41967.50,49234.97
2021-12-03,56534.26,57652.00,51556.01,53743.69
2021-12-02,57232.71,57413.52,55839.85,56547.96
2021-12-01,57027.28,59099.64,56469.22,57251.59
2021-11-30,57843.33,59250.00,55918.80,56974.12
2021-11-29,57327.32,58931.07,56750.00,57845.12
2021-11-28,54764.24,57482.42,53308.93,57338.55
2021-11-27,53794.32,55382.00,53653.45,54774.66
2021-11-26,59004.88,59207.36,53524.03,53789.35
2021-11-25,57169.19,59445.45,57044.42,58990.14
2021-11-24,57583.91,57750.20,55894.62,57185.06
2021-11-23,56283.80,57897.54,55128.60,57579.99
2021-11-22,58679.27,59516.78,55628.57,56294.11
2021-11-21,59785.85,60090.55,58525.84,58678.47
2021-11-20,58126.46,59896.54,57424.27,59768.54
2021-11-19,56924.94,58402.05,55640.00,58128.55
2021-11-18,60376.94,60978.39,56516.44,56917.66
2021-11-17,60115.12,60888.50,58400.00,60373.65
2021-11-16,63621.61,63628.00,58563.00,60142.31
2021-11-15,65509.87,66387.40,63348.91,63606.09
2021-11-14,64403.43,65509.87,63595.76,65509.87
2021-11-13,64140.23,64980.00,63400.00,64417.52
2021-11-12,64783.13,65497.53,62294.84,64158.41
2021-11-11,64919.18,65625.44,64140.00,64821.33
2021-11-10,66928.42,69000.00,62856.71,64921.43
2021-11-09,67547.49,68564.40,66250.00,66945.72
2021-11-08,63300.00,67803.55,63300.00,67559.00
2021-11-07,61542.43,63300.00,61396.57,63300.00
2021-11-06,61008.19,61609.50,60109.91,61542.44
2021-11-05,61430.02,62666.52,60769.17,61031.91
2021-11-04,62945.38,63136.82,60725.00,61457.25
2021-11-03,63260.00,63567.21,60018.46,62930.72
2021-11-02,60949.78,64300.00,60669.91,63260.00
2021-11-01,61356.57,62500.00,59500.00,60922.85
2021-10-31,61904.96,62438.85,60000.00,61359.44
2021-10-30,62278.92,62376.32,60660.02,61932.30
2021-10-29,60608.95,62971.54,60154.53,62301.59
2021-10-28,58471.06,62524.00,56425.00,60592.76
2021-10-27,60331.40,61489.00,58100.01,58465.90
2021-10-26,63101.43,63299.30,59830.00,60328.22
2021-10-25,60883.96,63733.93,60670.00,63101.43
2021-10-24,61306.64,61497.33,59510.00,60910.16
