date,open,high,low,close
2018-12-31,3831.03,3842.89,3630.00,3693.30
2018-12-30,3728.96,3870.00,3688.76,3835.79
2018-12-29,3884.66,3961.85,3702.51,3725.48
2018-12-28,3590.26,3970.00,3575.00,3884.97
2018-12-27,3810.01,3841.17,3566.00,3591.69
2018-12-26,3780.00,3863.34,3678.80,3810.01
2018-12-25,4034.54,4049.23,3674.73,3779.99
2018-12-24,3947.82,4236.84,3944.84,4036.00
2018-12-23,3977.65,4051.00,3900.00,3943.83
2018-12-22,3842.59,4010.16,3780.09,3980.90
2018-12-21,4073.58,4162.00,3770.00,3841.08
2018-12-20,3684.03,4172.07,3656.75,4073.77
2018-12-19,3667.16,3924.01,3642.69,3684.50
2018-12-18,3499.37,3684.00,3422.77,3667.16
2018-12-17,3191.41,3590.00,3181.26,3496.73
2018-12-16,3180.84,3259.43,3178.23,3193.78
2018-12-15,3194.04,3230.00,3122.28,3179.54
2018-12-14,3263.55,3294.81,3135.55,3195.75
2018-12-13,3430.20,3441.13,3221.14,3262.73
2018-12-12,3345.01,3490.00,3325.70,3430.18
2018-12-11,3406.41,3427.27,3292.65,3353.42
2018-12-10,3528.68,3588.43,3355.00,3408.00
2018-12-09,3398.80,3633.20,3371.09,3529.75
2018-12-08,3376.27,3495.99,3241.00,3398.80
2018-12-07,3437.22,3531.00,3210.00,3380.68
2018-12-06,3694.03,3844.79,3415.22,3437.26
2018-12-05,3903.52,3913.62,3662.35,3696.69
2018-12-04,3830.81,4033.98,3730.00,3903.52
2018-12-03,4099.63,4115.15,3747.00,3834.34
2018-12-02,4140.40,4265.00,4030.00,4102.05
2018-12-01,3970.56,4264.47,3904.34,4140.39
2018-11-30,4250.00,4300.00,3861.00,3971.06
2018-11-29,4219.77,4409.77,4086.97,4249.80
2018-11-28,3771.01,4355.08,3771.00,4220.16
2018-11-27,3727.34,3834.35,3548.76,3771.01
2018-11-26,3934.22,4069.59,3522.28,3727.34
2018-11-25,3780.67,4120.00,3474.73,3938.89
2018-11-24,4288.25,4376.88,3638.48,3785.65
2018-11-23,4268.40,4364.46,4061.02,4288.26
2018-11-22,4551.47,4589.53,4194.98,4275.23
2018-11-21,4349.41,4635.00,4242.33,4538.01
2018-11-20,4732.92,4897.36,4048.58,4352.00
2018-11-19,5553.01,5559.69,4694.44,4735.44
2018-11-18,5503.36,5658.47,5500.00,5559.26
2018-11-17,5514.62,5550.66,5452.63,5503.36
2018-11-16,5571.12,5610.00,5411.74,5508.71
2018-11-15,5592.23,5641.00,5199.80,5585.00
2018-11-14,6255.86,6298.47,5324.00,5595.91
2018-11-13,6318.01,6328.36,6244.35,6260.91
2018-11-12,6352.57,6388.21,6298.50,6318.00
